split_tag,analysis_region,trigger_rule,count,ood_name
A,ood_deployment_threshold,hierarchy::priority_override,1,ood_test_injection_standard
A,ood_deployment_threshold,tool_generic::call_tool,1,ood_test_injection_standard
A,ood_deployment_threshold,tool_generic::execute_command,1,ood_test_injection_standard
A,ood_near_1pct_fpr,procedural::suppressed_unanchored,6,ood_test_injection_standard
A,ood_near_1pct_fpr,procedural::step_by_step,4,ood_test_injection_standard
A,ood_near_1pct_fpr,procedural::ordered_steps,2,ood_test_injection_standard
A,ood_near_1pct_fpr,context::defensive_context,1,ood_test_injection_standard
A,ood_near_1pct_fpr,hierarchy::no_restrictions,1,ood_test_injection_standard
B,ood_deployment_threshold,procedural::ordered_steps,2,ood_test
B,ood_deployment_threshold,procedural::suppressed_unanchored,2,ood_test
B,ood_near_1pct_fpr,procedural::ordered_steps,1,ood_test
B,ood_near_1pct_fpr,procedural::suppressed_unanchored,1,ood_test
B,ood_deployment_threshold,context::defensive_context,4,ood_test_injection
B,ood_deployment_threshold,procedural::suppressed_unanchored,3,ood_test_injection
B,ood_deployment_threshold,procedural::ordered_steps,2,ood_test_injection
B,ood_deployment_threshold,role::act_as,2,ood_test_injection
B,ood_deployment_threshold,hierarchy::no_restrictions,1,ood_test_injection
B,ood_deployment_threshold,procedural::how_to_sequence,1,ood_test_injection
B,ood_near_1pct_fpr,role::act_as,1,ood_test_injection
B,ood_deployment_threshold,procedural::suppressed_unanchored,77,ood_test_injection_standard
B,ood_deployment_threshold,procedural::ordered_steps,50,ood_test_injection_standard
B,ood_deployment_threshold,procedural::step_by_step,34,ood_test_injection_standard
B,ood_deployment_threshold,context::defensive_context,19,ood_test_injection_standard
B,ood_deployment_threshold,context::for_research,12,ood_test_injection_standard
B,ood_deployment_threshold,procedural::exact_instructions,9,ood_test_injection_standard
B,ood_deployment_threshold,role::act_as,9,ood_test_injection_standard
B,ood_deployment_threshold,hierarchy::no_restrictions,6,ood_test_injection_standard
B,ood_deployment_threshold,context::benign_educational_suppression,5,ood_test_injection_standard
B,ood_deployment_threshold,context::for_class,4,ood_test_injection_standard
B,ood_deployment_threshold,role::you_are_now,4,ood_test_injection_standard
B,ood_deployment_threshold,context::historical_explanation,3,ood_test_injection_standard
B,ood_deployment_threshold,hierarchy::disregard_policy,3,ood_test_injection_standard
B,ood_deployment_threshold,evasion::avoid_detection,2,ood_test_injection_standard
B,ood_deployment_threshold,evasion::encoded_payload,2,ood_test_injection_standard
B,ood_deployment_threshold,harm::phishing_creds,1,ood_test_injection_standard
B,ood_deployment_threshold,hierarchy::bypass_restrictions,1,ood_test_injection_standard
B,ood_deployment_threshold,hierarchy::forget_prior_instructions,1,ood_test_injection_standard
B,ood_deployment_threshold,hierarchy::ignore_prior_instructions,1,ood_test_injection_standard
B,ood_deployment_threshold,procedural::how_to_sequence,1,ood_test_injection_standard
B,ood_deployment_threshold,tool_generic::execute_command,1,ood_test_injection_standard
B,ood_deployment_threshold,tool_generic::suppressed_unanchored,1,ood_test_injection_standard
B,ood_near_1pct_fpr,procedural::step_by_step,3,ood_test_injection_standard
B,ood_near_1pct_fpr,procedural::suppressed_unanchored,3,ood_test_injection_standard
B,ood_near_1pct_fpr,procedural::ordered_steps,1,ood_test_injection_standard
B,ood_near_1pct_fpr,role::act_as,1,ood_test_injection_standard
C,ood_deployment_threshold,procedural::ordered_steps,2,ood_test
C,ood_deployment_threshold,procedural::suppressed_unanchored,2,ood_test
C,ood_deployment_threshold,procedural::suppressed_unanchored,5,ood_test_injection
C,ood_deployment_threshold,procedural::ordered_steps,3,ood_test_injection
C,ood_deployment_threshold,context::defensive_context,2,ood_test_injection
C,ood_deployment_threshold,role::act_as,2,ood_test_injection
C,ood_deployment_threshold,context::historical_explanation,1,ood_test_injection
C,ood_deployment_threshold,hierarchy::no_restrictions,1,ood_test_injection
C,ood_deployment_threshold,procedural::how_to_sequence,1,ood_test_injection
C,ood_deployment_threshold,procedural::step_by_step,1,ood_test_injection
C,ood_near_1pct_fpr,context::defensive_context,1,ood_test_injection
C,ood_deployment_threshold,procedural::suppressed_unanchored,168,ood_test_injection_standard
C,ood_deployment_threshold,procedural::ordered_steps,104,ood_test_injection_standard
C,ood_deployment_threshold,procedural::step_by_step,74,ood_test_injection_standard
C,ood_deployment_threshold,context::defensive_context,27,ood_test_injection_standard
C,ood_deployment_threshold,context::for_research,22,ood_test_injection_standard
C,ood_deployment_threshold,procedural::exact_instructions,14,ood_test_injection_standard
C,ood_deployment_threshold,role::act_as,13,ood_test_injection_standard
C,ood_deployment_threshold,context::benign_educational_suppression,12,ood_test_injection_standard
C,ood_deployment_threshold,context::historical_explanation,10,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::no_restrictions,10,ood_test_injection_standard
C,ood_deployment_threshold,evasion::encoded_payload,6,ood_test_injection_standard
C,ood_deployment_threshold,context::for_class,5,ood_test_injection_standard
C,ood_deployment_threshold,evasion::encoding_request,3,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::disregard_policy,3,ood_test_injection_standard
C,ood_deployment_threshold,procedural::how_to_sequence,3,ood_test_injection_standard
C,ood_deployment_threshold,role::you_are_now,3,ood_test_injection_standard
C,ood_deployment_threshold,evasion::avoid_detection,2,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::ignore_prior_instructions,2,ood_test_injection_standard
C,ood_deployment_threshold,system::system_tag,2,ood_test_injection_standard
C,ood_deployment_threshold,tool_generic::suppressed_unanchored,2,ood_test_injection_standard
C,ood_deployment_threshold,harm::exploit_auth,1,ood_test_injection_standard
C,ood_deployment_threshold,harm::malware,1,ood_test_injection_standard
C,ood_deployment_threshold,harm::phishing_creds,1,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::bypass_restrictions,1,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::do_not_follow_policy,1,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::forget_prior_instructions,1,ood_test_injection_standard
C,ood_deployment_threshold,hierarchy::priority_override,1,ood_test_injection_standard
C,ood_deployment_threshold,tool_generic::call_tool,1,ood_test_injection_standard
C,ood_deployment_threshold,tool_generic::execute_command,1,ood_test_injection_standard
C,ood_near_1pct_fpr,procedural::suppressed_unanchored,6,ood_test_injection_standard
C,ood_near_1pct_fpr,procedural::ordered_steps,3,ood_test_injection_standard
C,ood_near_1pct_fpr,procedural::step_by_step,3,ood_test_injection_standard
C,ood_near_1pct_fpr,context::defensive_context,2,ood_test_injection_standard
C,ood_near_1pct_fpr,context::benign_educational_suppression,1,ood_test_injection_standard
C,ood_near_1pct_fpr,hierarchy::disregard_policy,1,ood_test_injection_standard
C,ood_near_1pct_fpr,hierarchy::no_restrictions,1,ood_test_injection_standard
C,ood_near_1pct_fpr,role::act_as,1,ood_test_injection_standard
